"","Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Drop.timestamp","Request.Time","Drop.Time","Travel_Time"
"28",5916,"City",3,"Trip Completed",2016-07-15 10:00:43,2016-07-15 10:53:06,"10:00:43","10:53:06",52.3833333333333
"29",669,"City",4,"Trip Completed",2016-07-11 13:08:00,2016-07-11 13:49:00,"13:08:00","13:49:00",41
"30",1567,"Airport",4,"Trip Completed",2016-07-12 06:21:00,2016-07-12 07:10:00,"06:21:00","07:10:00",49
"31",1826,"City",4,"Trip Completed",2016-07-12 09:27:00,2016-07-12 10:27:00,"09:27:00","10:27:00",60
"32",2102,"City",4,"Trip Completed",2016-07-12 16:09:00,2016-07-12 17:01:00,"16:09:00","17:01:00",52
"33",2847,"Airport",4,"Trip Completed",2016-07-13 05:34:20,2016-07-13 06:09:59,"05:34:20","06:09:59",35.65
"34",3722,"Airport",4,"Trip Completed",2016-07-13 19:57:59,2016-07-13 20:32:04,"19:57:59","20:32:04",34.0833333333333
"35",4075,"City",4,"Trip Completed",2016-07-14 02:17:35,2016-07-14 03:21:38,"02:17:35","03:21:38",64.05
"36",4686,"City",4,"Trip Completed",2016-07-14 13:01:10,2016-07-14 13:45:28,"13:01:10","13:45:28",44.3
"37",5771,"Airport",4,"Trip Completed",2016-07-15 08:30:06,2016-07-15 09:37:20,"08:30:06","09:37:20",67.2333333333333
"38",6106,"Airport",4,"Trip Completed",2016-07-15 15:01:20,2016-07-15 15:47:31,"15:01:20","15:47:31",46.1833333333333
"39",312,"City",5,"Trip Completed",2016-07-11 07:27:00,2016-07-11 08:31:00,"07:27:00","08:31:00",64
"40",577,"Airport",5,"Trip Completed",2016-07-11 11:03:00,2016-07-11 12:01:00,"11:03:00","12:01:00",58
"41",1179,"City",5,"Trip Completed",2016-07-11 20:58:00,2016-07-11 21:45:00,"20:58:00","21:45:00",47
"42",1756,"Airport",5,"Trip Completed",2016-07-12 08:40:00,2016-07-12 09:23:00,"08:40:00","09:23:00",43
"43",2052,"City",5,"Trip Completed",2016-07-12 14:48:00,2016-07-12 15:50:00,"14:48:00","15:50:00",62
"44",2559,"City",5,"Trip Completed",2016-07-12 21:32:00,2016-07-12 22:29:00,"21:32:00","22:29:00",57
"45",3014,"City",5,"Trip Completed",2016-07-13 07:28:14,2016-07-13 08:29:47,"07:28:14","08:29:47",61.55
"46",3317,"City",5,"Trip Completed",2016-07-13 12:14:27,2016-07-13 12:46:38,"12:14:27","12:46:38",32.1833333333333
"47",4297,"City",5,"Trip Completed",2016-07-14 06:43:01,2016-07-14 07:49:38,"06:43:01","07:49:38",66.6166666666667
"48",5857,"Airport",5,"Trip Completed",2016-07-15 09:08:50,2016-07-15 10:07:07,"09:08:50","10:07:07",58.2833333333333
"49",6690,"Airport",5,"Trip Completed",2016-07-15 22:41:41,2016-07-15 23:51:00,"22:41:41","23:51:00",69.3166666666667
"50",1517,"Airport",6,"Trip Completed",2016-07-12 05:45:00,2016-07-12 06:28:00,"05:45:00","06:28:00",43
"51",1999,"Airport",6,"Trip Completed",2016-07-12 13:02:00,2016-07-12 13:51:00,"13:02:00","13:51:00",49
"52",2960,"Airport",6,"Trip Completed",2016-07-13 06:50:33,2016-07-13 07:40:35,"06:50:33","07:40:35",50.0333333333333
"53",3882,"City",6,"Trip Completed",2016-07-13 21:53:03,2016-07-13 22:45:24,"21:53:03","22:45:24",52.35
"54",4081,"Airport",6,"Trip Completed",2016-07-14 02:37:14,2016-07-14 03:30:27,"02:37:14","03:30:27",53.2166666666667
"55",4740,"City",6,"Trip Completed",2016-07-14 14:50:07,2016-07-14 15:38:14,"14:50:07","15:38:14",48.1166666666667
"56",5270,"City",6,"Trip Completed",2016-07-14 21:33:55,2016-07-14 22:25:43,"21:33:55","22:25:43",51.8
"57",6758,"Airport",6,"Trip Completed",2016-07-15 00:03:39,2016-07-15 01:07:39,"00:03:39","01:07:39",64
"58",5741,"City",6,"Trip Completed",2016-07-15 07:52:51,2016-07-15 08:38:55,"07:52:51","08:38:55",46.0666666666667
"59",6087,"Airport",6,"Trip Completed",2016-07-15 14:28:50,2016-07-15 15:33:53,"14:28:50","15:33:53",65.05
"60",1039,"City",7,"Trip Completed",2016-07-11 19:31:00,2016-07-11 20:41:00,"19:31:00","20:41:00",70
"61",1273,"Airport",7,"Trip Completed",2016-07-11 22:07:00,2016-07-11 23:12:00,"22:07:00","23:12:00",65
"62",2480,"City",7,"Trip Completed",2016-07-12 20:39:00,2016-07-12 21:28:00,"20:39:00","21:28:00",49
"63",4105,"City",7,"Trip Completed",2016-07-14 03:39:38,2016-07-14 04:39:04,"03:39:38","04:39:04",59.4333333333333
"64",4509,"City",7,"Trip Completed",2016-07-14 09:11:13,2016-07-14 10:17:01,"09:11:13","10:17:01",65.8
"65",4986,"Airport",7,"Trip Completed",2016-07-14 18:52:32,2016-07-14 19:50:57,"18:52:32","19:50:57",58.4166666666667
"66",5898,"City",7,"Trip Completed",2016-07-15 09:50:28,2016-07-15 10:40:39,"09:50:28","10:40:39",50.1833333333333
"67",6142,"Airport",7,"Trip Completed",2016-07-15 15:50:15,2016-07-15 16:36:56,"15:50:15","16:36:56",46.6833333333333
"68",380,"Airport",8,"Trip Completed",2016-07-11 08:18:00,2016-07-11 09:18:00,"08:18:00","09:18:00",60
"69",1050,"Airport",8,"Trip Completed",2016-07-11 19:39:00,2016-07-11 20:30:00,"19:39:00","20:30:00",51
"70",1769,"City",8,"Trip Completed",2016-07-12 08:57:00,2016-07-12 09:24:00,"08:57:00","09:24:00",27
"71",2520,"City",8,"Trip Completed",2016-07-12 21:05:00,2016-07-12 22:20:00,"21:05:00","22:20:00",75
"72",3265,"Airport",8,"Trip Completed",2016-07-13 10:22:07,2016-07-13 11:07:02,"10:22:07","11:07:02",44.9166666666667
"73",4648,"City",8,"Trip Completed",2016-07-14 11:55:10,2016-07-14 12:59:34,"11:55:10","12:59:34",64.4
"74",449,"Airport",9,"Trip Completed",2016-07-11 09:08:00,2016-07-11 09:52:00,"09:08:00","09:52:00",44
"75",846,"Airport",9,"Trip Completed",2016-07-11 17:46:00,2016-07-11 18:52:00,"17:46:00","18:52:00",66
"76",1346,"Airport",9,"Trip Completed",2016-07-11 23:39:00,2016-07-12 00:23:00,"23:39:00","00:23:00",44
"77",1474,"Airport",9,"Trip Completed",2016-07-12 05:13:00,2016-07-12 05:56:00,"05:13:00","05:56:00",43
"78",2240,"City",9,"Trip Completed",2016-07-12 18:20:00,2016-07-12 18:54:00,"18:20:00","18:54:00",34
"79",3072,"Airport",9,"Trip Completed",2016-07-13 08:04:57,2016-07-13 08:36:37,"08:04:57","08:36:37",31.6666666666667
"80",3459,"Airport",9,"Trip Completed",2016-07-13 17:03:30,2016-07-13 17:31:49,"17:03:30","17:31:49",28.3166666666667
"81",3774,"Airport",9,"Trip Completed",2016-07-13 20:41:24,2016-07-13 21:27:29,"20:41:24","21:27:29",46.0833333333333
"82",4023,"City",9,"Trip Completed",2016-07-13 23:58:41,2016-07-14 00:58:39,"23:58:41","00:58:39",59.9666666666667
"83",4117,"City",9,"Trip Completed",2016-07-14 04:21:42,2016-07-14 05:07:07,"04:21:42","05:07:07",45.4166666666667
"84",4880,"Airport",9,"Trip Completed",2016-07-14 17:58:46,2016-07-14 19:02:42,"17:58:46","19:02:42",63.9333333333333
"85",5568,"Airport",9,"Trip Completed",2016-07-15 05:47:49,2016-07-15 06:25:49,"05:47:49","06:25:49",38
"86",5994,"Airport",9,"Trip Completed",2016-07-15 11:51:16,2016-07-15 12:32:12,"11:51:16","12:32:12",40.9333333333333
"87",1809,"Airport",10,"Trip Completed",2016-07-12 09:13:00,2016-07-12 10:01:00,"09:13:00","10:01:00",48
"88",2064,"Airport",10,"Trip Completed",2016-07-12 15:08:00,2016-07-12 16:14:00,"15:08:00","16:14:00",66
"89",3210,"City",10,"Trip Completed",2016-07-13 09:47:06,2016-07-13 10:52:37,"09:47:06","10:52:37",65.5166666666667
"90",4350,"City",10,"Trip Completed",2016-07-14 07:24:43,2016-07-14 08:22:09,"07:24:43","08:22:09",57.4333333333333
"91",4713,"City",10,"Trip Completed",2016-07-14 13:31:24,2016-07-14 14:10:56,"13:31:24","14:10:56",39.5333333333333
"92",5629,"Airport",10,"Trip Completed",2016-07-15 06:33:00,2016-07-15 07:19:53,"06:33:00","07:19:53",46.8833333333333
"93",6157,"Airport",10,"Trip Completed",2016-07-15 16:32:51,2016-07-15 17:44:44,"16:32:51","17:44:44",71.8833333333333
"94",2030,"City",11,"Trip Completed",2016-07-12 14:11:00,2016-07-12 15:02:00,"14:11:00","15:02:00",51
"95",3226,"City",11,"Trip Completed",2016-07-13 10:00:17,2016-07-13 11:02:52,"10:00:17","11:02:52",62.5833333333333
"96",3353,"City",11,"Trip Completed",2016-07-13 13:29:44,2016-07-13 14:09:00,"13:29:44","14:09:00",39.2666666666667
"97",4293,"City",11,"Trip Completed",2016-07-14 06:42:36,2016-07-14 07:12:41,"06:42:36","07:12:41",30.0833333333333
"98",4936,"City",11,"Trip Completed",2016-07-14 18:22:17,2016-07-14 19:14:36,"18:22:17","19:14:36",52.3166666666667
"99",5661,"Airport",11,"Trip Completed",2016-07-15 07:08:50,2016-07-15 07:59:00,"07:08:50","07:59:00",50.1666666666667
"100",5778,"City",11,"Trip Completed",2016-07-15 08:22:03,2016-07-15 09:13:04,"08:22:03","09:13:04",51.0166666666667
"101",6425,"Airport",11,"Trip Completed",2016-07-15 19:46:40,2016-07-15 20:26:51,"19:46:40","20:26:51",40.1833333333333
"102",45,"Airport",12,"Trip Completed",2016-07-11 03:17:00,2016-07-11 04:09:00,"03:17:00","04:09:00",52
"103",264,"City",12,"Trip Completed",2016-07-11 06:51:00,2016-07-11 07:40:00,"06:51:00","07:40:00",49
"104",1183,"City",12,"Trip Completed",2016-07-11 21:05:00,2016-07-11 21:38:00,"21:05:00","21:38:00",33
"105",1536,"Airport",12,"Trip Completed",2016-07-12 05:59:00,2016-07-12 06:59:00,"05:59:00","06:59:00",60
"106",2437,"City",12,"Trip Completed",2016-07-12 20:18:00,2016-07-12 21:26:00,"20:18:00","21:26:00",68
"107",2641,"Airport",12,"Trip Completed",2016-07-12 22:28:00,2016-07-12 23:05:00,"22:28:00","23:05:00",37
"108",4077,"Airport",12,"Trip Completed",2016-07-14 02:14:15,2016-07-14 03:13:09,"02:14:15","03:13:09",58.9
"109",4610,"City",12,"Trip Completed",2016-07-14 10:35:14,2016-07-14 11:39:01,"10:35:14","11:39:01",63.7833333333333
"110",5066,"Airport",12,"Trip Completed",2016-07-14 19:31:20,2016-07-14 20:14:03,"19:31:20","20:14:03",42.7166666666667
"111",5666,"Airport",12,"Trip Completed",2016-07-15 07:04:55,2016-07-15 08:12:37,"07:04:55","08:12:37",67.7
"112",5923,"City",12,"Trip Completed",2016-07-15 10:07:49,2016-07-15 10:50:50,"10:07:49","10:50:50",43.0166666666667
"113",6367,"City",12,"Trip Completed",2016-07-15 19:04:46,2016-07-15 19:46:04,"19:04:46","19:46:04",41.3
"114",155,"City",13,"Trip Completed",2016-07-11 05:32:00,2016-07-11 06:28:00,"05:32:00","06:28:00",56
"115",310,"Airport",13,"Trip Completed",2016-07-11 07:24:00,2016-07-11 08:28:00,"07:24:00","08:28:00",64
"116",607,"City",13,"Trip Completed",2016-07-11 11:51:00,2016-07-11 12:42:00,"11:51:00","12:42:00",51
"117",1012,"City",13,"Trip Completed",2016-07-11 19:15:00,2016-07-11 19:57:00,"19:15:00","19:57:00",42
"118",1696,"Airport",13,"Trip Completed",2016-07-12 08:01:00,2016-07-12 08:42:00,"08:01:00","08:42:00",41
"119",3076,"City",13,"Trip Completed",2016-07-13 08:09:04,2016-07-13 09:12:19,"08:09:04","09:12:19",63.25
"120",4198,"Airport",13,"Trip Completed",2016-07-14 05:32:14,2016-07-14 06:45:32,"05:32:14","06:45:32",73.3
"121",4627,"City",13,"Trip Completed",2016-07-14 11:13:19,2016-07-14 12:00:12,"11:13:19","12:00:12",46.8833333333333
"122",5289,"City",13,"Trip Completed",2016-07-14 21:43:24,2016-07-14 22:24:13,"21:43:24","22:24:13",40.8166666666667
"123",5495,"Airport",13,"Trip Completed",2016-07-15 05:00:13,2016-07-15 06:02:27,"05:00:13","06:02:27",62.2333333333333
"124",6656,"Airport",13,"Trip Completed",2016-07-15 22:08:42,2016-07-15 22:41:18,"22:08:42","22:41:18",32.6
"125",139,"Airport",14,"Trip Completed",2016-07-11 05:21:00,2016-07-11 06:09:00,"05:21:00","06:09:00",48
"126",215,"City",14,"Trip Completed",2016-07-11 06:15:00,2016-07-11 07:07:00,"06:15:00","07:07:00",52
"127",1816,"City",14,"Trip Completed",2016-07-12 09:24:00,2016-07-12 10:07:00,"09:24:00","10:07:00",43
"128",2505,"Airport",14,"Trip Completed",2016-07-12 21:03:00,2016-07-12 22:14:00,"21:03:00","22:14:00",71
"129",3346,"City",14,"Trip Completed",2016-07-13 13:01:42,2016-07-13 13:55:59,"13:01:42","13:55:59",54.2833333333333
"130",5294,"City",14,"Trip Completed",2016-07-14 21:45:50,2016-07-14 22:16:40,"21:45:50","22:16:40",30.8333333333333
"131",6226,"Airport",14,"Trip Completed",2016-07-15 17:34:25,2016-07-15 18:33:13,"17:34:25","18:33:13",58.8
"132",6733,"Airport",14,"Trip Completed",2016-07-15 23:32:44,2016-07-16 00:37:46,"23:32:44","00:37:46",65.0333333333333
"133",1027,"Airport",15,"Trip Completed",2016-07-11 19:18:00,2016-07-11 20:24:00,"19:18:00","20:24:00",66
"134",2675,"Airport",15,"Trip Completed",2016-07-12 23:43:00,2016-07-13 00:35:12,"23:43:00","00:35:12",52.2
"135",3200,"City",15,"Trip Completed",2016-07-13 09:39:44,2016-07-13 10:30:58,"09:39:44","10:30:58",51.2333333333333
"136",3865,"City",15,"Trip Completed",2016-07-13 21:52:05,2016-07-13 22:21:15,"21:52:05","22:21:15",29.1666666666667
"137",4468,"City",15,"Trip Completed",2016-07-14 08:42:46,2016-07-14 09:22:01,"08:42:46","09:22:01",39.25
"138",5163,"Airport",15,"Trip Completed",2016-07-14 20:34:30,2016-07-14 21:05:18,"20:34:30","21:05:18",30.8
"139",6009,"City",15,"Trip Completed",2016-07-15 12:22:35,2016-07-15 13:25:27,"12:22:35","13:25:27",62.8666666666667
"140",6448,"Airport",15,"Trip Completed",2016-07-15 20:02:54,2016-07-15 20:40:45,"20:02:54","20:40:45",37.85
"141",591,"City",16,"Trip Completed",2016-07-11 11:25:00,2016-07-11 12:31:00,"11:25:00","12:31:00",66
"142",709,"City",16,"Trip Completed",2016-07-11 14:16:00,2016-07-11 15:03:00,"14:16:00","15:03:00",47
"143",1167,"Airport",16,"Trip Completed",2016-07-11 20:50:00,2016-07-11 21:52:00,"20:50:00","21:52:00",62
"144",2661,"Airport",16,"Trip Completed",2016-07-12 23:23:00,2016-07-13 00:27:21,"23:23:00","00:27:21",64.35
"145",2808,"City",16,"Trip Completed",2016-07-13 05:05:16,2016-07-13 05:56:11,"05:05:16","05:56:11",50.9166666666667
"146",3258,"Airport",16,"Trip Completed",2016-07-13 10:12:51,2016-07-13 10:45:28,"10:12:51","10:45:28",32.6166666666667
"147",3413,"Airport",16,"Trip Completed",2016-07-13 15:32:01,2016-07-13 16:45:44,"15:32:01","16:45:44",73.7166666666667
"148",3939,"Airport",16,"Trip Completed",2016-07-13 22:26:26,2016-07-13 22:55:54,"22:26:26","22:55:54",29.4666666666667
"149",4125,"City",16,"Trip Completed",2016-07-14 04:37:11,2016-07-14 05:46:29,"04:37:11","05:46:29",69.3
"150",4457,"City",16,"Trip Completed",2016-07-14 08:36:24,2016-07-14 09:19:20,"08:36:24","09:19:20",42.9333333333333
"151",4728,"City",16,"Trip Completed",2016-07-14 14:04:13,2016-07-14 15:06:40,"14:04:13","15:06:40",62.45
"152",5347,"Airport",16,"Trip Completed",2016-07-14 22:51:47,2016-07-14 23:53:42,"22:51:47","23:53:42",61.9166666666667
"153",6147,"City",16,"Trip Completed",2016-07-15 16:11:02,2016-07-15 17:30:08,"16:11:02","17:30:08",79.1
"154",6496,"Airport",16,"Trip Completed",2016-07-15 20:33:00,2016-07-15 21:32:49,"20:33:00","21:32:49",59.8166666666667
"155",634,"City",17,"Trip Completed",2016-07-11 12:25:00,2016-07-11 13:06:00,"12:25:00","13:06:00",41
"156",939,"Airport",17,"Trip Completed",2016-07-11 18:25:00,2016-07-11 19:26:00,"18:25:00","19:26:00",61
"157",2628,"Airport",17,"Trip Completed",2016-07-12 22:10:00,2016-07-12 23:25:00,"22:10:00","23:25:00",75
"158",3021,"City",17,"Trip Completed",2016-07-13 07:33:20,2016-07-13 08:26:07,"07:33:20","08:26:07",52.7833333333333
"159",4743,"City",17,"Trip Completed",2016-07-14 14:54:16,2016-07-14 15:39:03,"14:54:16","15:39:03",44.7833333333333
"160",4981,"City",17,"Trip Completed",2016-07-14 18:47:42,2016-07-14 19:43:44,"18:47:42","19:43:44",56.0333333333333
"161",5367,"Airport",17,"Trip Completed",2016-07-14 23:35:34,2016-07-15 00:25:26,"23:35:34","00:25:26",49.8666666666667
"162",5471,"Airport",17,"Trip Completed",2016-07-15 04:48:57,2016-07-15 05:47:13,"04:48:57","05:47:13",58.2666666666667
"163",5988,"Airport",17,"Trip Completed",2016-07-15 11:48:32,2016-07-15 12:55:02,"11:48:32","12:55:02",66.5
"164",6477,"Airport",17,"Trip Completed",2016-07-15 20:21:26,2016-07-15 21:00:31,"20:21:26","21:00:31",39.0833333333333
"165",499,"City",18,"Trip Completed",2016-07-11 09:39:00,2016-07-11 10:16:00,"09:39:00","10:16:00",37
"166",1147,"Airport",18,"Trip Completed",2016-07-11 20:42:00,2016-07-11 21:18:00,"20:42:00","21:18:00",36
"167",1410,"Airport",18,"Trip Completed",2016-07-12 03:14:00,2016-07-12 04:27:00,"03:14:00","04:27:00",73
"168",1804,"Airport",18,"Trip Completed",2016-07-12 09:12:00,2016-07-12 09:57:00,"09:12:00","09:57:00",45
"169",1949,"Airport",18,"Trip Completed",2016-07-12 11:32:00,2016-07-12 12:13:00,"11:32:00","12:13:00",41
"170",2713,"City",18,"Trip Completed",2016-07-13 01:46:42,2016-07-13 02:37:08,"01:46:42","02:37:08",50.4333333333333
"171",2845,"City",18,"Trip Completed",2016-07-13 05:28:29,2016-07-13 06:10:40,"05:28:29","06:10:40",42.1833333333333
"172",3943,"Airport",18,"Trip Completed",2016-07-13 22:35:38,2016-07-13 23:33:20,"22:35:38","23:33:20",57.7
"173",4792,"City",18,"Trip Completed",2016-07-14 16:47:15,2016-07-14 17:34:39,"16:47:15","17:34:39",47.4
"174",5207,"Airport",18,"Trip Completed",2016-07-14 20:57:41,2016-07-14 21:56:21,"20:57:41","21:56:21",58.6666666666667
"175",5890,"City",18,"Trip Completed",2016-07-15 09:43:57,2016-07-15 10:55:22,"09:43:57","10:55:22",71.4166666666667
"176",494,"City",19,"Trip Completed",2016-07-11 09:36:00,2016-07-11 10:02:00,"09:36:00","10:02:00",26
"177",1485,"City",19,"Trip Completed",2016-07-12 05:21:00,2016-07-12 06:35:00,"05:21:00","06:35:00",74
"178",2042,"City",19,"Trip Completed",2016-07-12 14:30:00,2016-07-12 15:09:00,"14:30:00","15:09:00",39
"179",2561,"Airport",19,"Trip Completed",2016-07-12 21:29:00,2016-07-12 22:44:00,"21:29:00","22:44:00",75
"180",3813,"Airport",19,"Trip Completed",2016-07-13 21:06:57,2016-07-13 21:46:24,"21:06:57","21:46:24",39.45
"181",4260,"Airport",19,"Trip Completed",2016-07-14 06:11:51,2016-07-14 06:59:46,"06:11:51","06:59:46",47.9166666666667
"182",4395,"City",19,"Trip Completed",2016-07-14 08:00:15,2016-07-14 08:54:39,"08:00:15","08:54:39",54.4
"183",5919,"City",19,"Trip Completed",2016-07-15 10:03:42,2016-07-15 10:59:27,"10:03:42","10:59:27",55.75
"184",6002,"Airport",19,"Trip Completed",2016-07-15 12:04:15,2016-07-15 12:53:36,"12:04:15","12:53:36",49.35
"185",468,"City",20,"Trip Completed",2016-07-11 09:20:00,2016-07-11 10:05:00,"09:20:00","10:05:00",45
"186",693,"Airport",20,"Trip Completed",2016-07-11 13:51:00,2016-07-11 15:01:00,"13:51:00","15:01:00",70
"187",1178,"City",20,"Trip Completed",2016-07-11 21:05:00,2016-07-11 22:06:00,"21:05:00","22:06:00",61
"188",2103,"City",20,"Trip Completed",2016-07-12 16:08:00,2016-07-12 17:18:00,"16:08:00","17:18:00",70
"189",2292,"Airport",20,"Trip Completed",2016-07-12 18:46:00,2016-07-12 19:23:00,"18:46:00","19:23:00",37
"190",3339,"City",20,"Trip Completed",2016-07-13 12:40:58,2016-07-13 13:30:26,"12:40:58","13:30:26",49.4666666666667
"191",3694,"City",20,"Trip Completed",2016-07-13 19:33:19,2016-07-13 20:35:08,"19:33:19","20:35:08",61.8166666666667
"192",4469,"City",20,"Trip Completed",2016-07-14 08:45:13,2016-07-14 09:48:08,"08:45:13","09:48:08",62.9166666666667
"193",6432,"City",20,"Trip Completed",2016-07-15 19:50:57,2016-07-15 20:30:05,"19:50:57","20:30:05",39.1333333333333
"194",1895,"City",21,"Trip Completed",2016-07-12 10:20:00,2016-07-12 10:52:00,"10:20:00","10:52:00",32
"195",1981,"Airport",21,"Trip Completed",2016-07-12 12:23:00,2016-07-12 12:56:00,"12:23:00","12:56:00",33
"196",3744,"Airport",21,"Trip Completed",2016-07-13 20:28:11,2016-07-13 21:22:42,"20:28:11","21:22:42",54.5166666666667
"197",4433,"Airport",21,"Trip Completed",2016-07-14 08:26:32,2016-07-14 09:12:02,"08:26:32","09:12:02",45.5
"198",6039,"Airport",21,"Trip Completed",2016-07-15 13:11:04,2016-07-15 13:38:01,"13:11:04","13:38:01",26.95
"199",6543,"City",21,"Trip Completed",2016-07-15 20:54:20,2016-07-15 22:12:36,"20:54:20","22:12:36",78.2666666666667
"200",110,"City",22,"Trip Completed",2016-07-11 05:05:00,2016-07-11 06:06:00,"05:05:00","06:06:00",61
"201",362,"City",22,"Trip Completed",2016-07-11 08:01:00,2016-07-11 09:18:00,"08:01:00","09:18:00",77
"202",666,"Airport",22,"Trip Completed",2016-07-11 13:02:00,2016-07-11 13:45:00,"13:02:00","13:45:00",43
"203",926,"City",22,"Trip Completed",2016-07-11 18:28:00,2016-07-11 19:34:00,"18:28:00","19:34:00",66
"204",1180,"Airport",22,"Trip Completed",2016-07-11 21:01:00,2016-07-11 22:14:00,"21:01:00","22:14:00",73
"205",1900,"City",22,"Trip Completed",2016-07-12 10:32:00,2016-07-12 11:42:00,"10:32:00","11:42:00",70
"206",2506,"City",22,"Trip Completed",2016-07-12 21:01:00,2016-07-12 21:38:00,"21:01:00","21:38:00",37
"207",3064,"City",22,"Trip Completed",2016-07-13 08:02:03,2016-07-13 08:58:46,"08:02:03","08:58:46",56.7166666666667
"208",3327,"Airport",22,"Trip Completed",2016-07-13 12:24:41,2016-07-13 13:23:39,"12:24:41","13:23:39",58.9666666666667
"209",3601,"City",22,"Trip Completed",2016-07-13 18:39:00,2016-07-13 19:29:07,"18:39:00","19:29:07",50.1166666666667
"210",4768,"Airport",22,"Trip Completed",2016-07-14 15:39:24,2016-07-14 16:49:03,"15:39:24","16:49:03",69.65
"211",5142,"City",22,"Trip Completed",2016-07-14 20:17:51,2016-07-14 20:48:58,"20:17:51","20:48:58",31.1166666666667
"212",5366,"Airport",22,"Trip Completed",2016-07-14 23:27:22,2016-07-15 00:19:50,"23:27:22","00:19:50",52.4666666666667
"213",5575,"City",22,"Trip Completed",2016-07-15 05:53:55,2016-07-15 06:50:02,"05:53:55","06:50:02",56.1166666666667
"214",5902,"City",22,"Trip Completed",2016-07-15 09:52:57,2016-07-15 10:37:05,"09:52:57","10:37:05",44.1333333333333
"215",6694,"Airport",22,"Trip Completed",2016-07-15 22:45:44,2016-07-15 23:17:53,"22:45:44","23:17:53",32.15
"216",523,"Airport",23,"Trip Completed",2016-07-11 09:48:00,2016-07-11 10:37:00,"09:48:00","10:37:00",49
"217",747,"City",23,"Trip Completed",2016-07-11 15:53:00,2016-07-11 16:43:00,"15:53:00","16:43:00",50
